"","STATION","lat","long","Saturday 00:00","Saturday 04:00","Saturday 08:00","Saturday 12:00","Saturday 16:00","Saturday 20:00","Sunday 00:00","Sunday 05:00","Sunday 09:00","Sunday 13:00","Sunday 17:00","Sunday 21:00","Monday 01:00","Monday 05:00","Monday 09:00","Monday 13:00","Monday 17:00","Monday 21:00","Tuesday 01:00","Tuesday 05:00","Tuesday 09:00","Tuesday 13:00","Tuesday 17:00","Tuesday 21:00","Wednesday 01:00","Wednesday 05:00","Wednesday 09:00","Wednesday 13:00","Wednesday 17:00","Wednesday 21:00","Thursday 01:00","Thursday 05:00","Thursday 09:00","Thursday 13:00","Thursday 17:00","Thursday 21:00","Friday 01:00","Friday 05:00","Friday 09:00","Friday 13:00","Friday 17:00"
"270","MORISN AV/SNDVW",40.829521,-73.874516,-384,530,643,326,-335,-359,-95,337,317,-281,-343,-160,1982,1128,135,-1129,-665,-232,2155,1223,248,-1236,-798,-274,2221,1312,197,-1400,-865,-269,2190,853,835,-1160,-749,-327,1946,808,664,-1010,0
"271","MORRIS PARK",40.854364,-73.860495,-43,95,100,-34,-212,-114,-15,45,80,-57,-125,-108,11,1195,255,-267,-856,-283,-19,1211,266,-344,-890,-323,-11,1182,273,-357,-819,-279,-11,1233,289,-273,-824,-327,-15,1168,239,-323,-787
"272","MOSHOLU PKWY",40.87975,-73.884655,22,925,882,934,449,218,19,527,643,573,524,147,112,2098,1270,1871,863,193,97,2206,1427,1794,992,85,86,2358,1337,1728,1213,118,121,2249,1300,1817,992,86,82,2137,1244,1878,934
"273","MT EDEN AV",40.844434,-73.914685,-163,283,488,384,-11,-175,-45,422,257,-173,-231,-89,928,848,345,-196,-446,-97,1064,837,394,-234,-432,-94,982,952,342,-321,-434,-117,985,914,398,-114,-440,-97,979,878,537,-94,-719.5
"274","MYRTLE AV",40.697207,-73.935657,-228,595,1440,916,32,-149,-144,362,1201,765,-4,-411,30,3273,2028,777,-1062,-613,-6,3544,2276,911,-1035,-657,-3,3439,1968,529,-847,-681,10,3512,2116,869,-791,-759,-52,3313,2442,1043,-505
"275","MYRTLE-WILLOUGH",40.694568,-73.949046,-140,397,997,776,208,-151,-111,250,824,614,-22,-258,-7,1872,1175,602,-258,-425,-23,1973,1279,541,-397,-478,-8,1950,1358,479,-251,-510,-38,1932,1369,619,-203,-491,-58,1750,1401,692,-176
"276","MYRTLE-WYCKOFF",40.697207,-73.935657,-878,1241,2684,2073,315,-707,-197,1929,1869,-25,-860,-364,3988,4795,1332,-1252,-1277,-501,4588,5181,1341,-1500,-1255,-470,4438,5259,1295,-1346,-1434,-518,4498,5356,1473,-1316,-1415,-684,4250,5084,1312,-712,0
"277","NASSAU ST",40.724635,-73.951277,101,113,387,796,707,252,246,422,569,537,120,27,892,2785,558,386,61,10,1086,2739,540,421,100,46,1041,2733,611,474,178,68,1046,2546,667,570,114,56,1057,2598,600,550,0
"278","NECK RD",40.595246,-73.955161,-4,333,774,499,239,41,185,632,401,200,48,10,1384,1547,388,27,-64,-3,1429,1833,373,-40,-30,1,1435,1703,387,13,5,-8,1480,1763,429,-9,-67,-4,1434,1530,399,16,0
"279","NEPTUNE AV",40.581011,-73.974574,-5,147,182,132,73,7,3,91,123,106,49,8,23,572,239,362,7,8,26,588,275,365,91,12,19,582,263,476,39,12,17,564,254,434,40,16,21,540,329,360,49
"280","NEVINS ST",40.688246,-73.980492,61,-38,-215,221,448,446,33,-28,100,361,97,13,-858,-833,809,1073,559,35,-976,-616,770,1232,524,12,-958,-812,954,1392,390,33,-948,-831,856,1251,783,34,-954,-774,959,955,-482.5
"281","NEWKIRK AV",40.635082,-73.962793,-119,682,787,336,-68,-169,-122,399,490,338,-44,-188,43,3329,1062,-74,-1107,-441,46,3597,1101,-74,-1151,-404,-5,3523,1074,-96,-1171,-317,39,3571,1193,-22,-1190,-378,-59,3318,1103,-35,-916
"282","NEWKIRK PLAZA",40.635082,-73.962793,-302,611,1037,366,-739,-664,-228,382,759,208,-701,-543,-42,3798,1535,-776,-2896,-1045,-39,4157,1532,-833,-3257,-1145,-89,4236,1609,-797,-3095,-1214,-95,4175,1655,-660,-2775,-1312,-111,3794,1442,-411,-2310
"283","NEW LOTS",40.658733,-73.899232,-96,463,-210,-59,-334,-247,-112,211,67,-19,-193,-150,-8,1639,286,-298,-861,-362,31,1783,267,-341,-946,-325,9,1785,357,-388,-897,-325,2,2154,434,-220,-843,-367,0,1615,335,-190,-758
"284","NEW LOTS AV",40.658733,-73.899232,-141,404,617,475,86,-41,138,348,345,38,-6,-16,2125,1504,407,-306,-286,-39,2257,1442,-53,44,-227,-74,2208,1450,441,-422,-288,-85,784,732,361,-395,-256,-131,1938,1463,549,-262,68
"285","NEW UTRECHT AV",40.624842,-73.996353,-71,510,636,8,-414,-495,-61,315,523,75,-282,-329,2,1213,463,199,-602,-375,-16,1324,411,143,-716,-449,-21,1221,485,267,-583,-400,-29,1272,445,297,-545,-449,-28,1244,485,274,-622
"286","NORTHERN BLVD",40.752885,-73.906006,-70,423,701,307,-205,-237,-43,240,415,290,-148,-301,30,2125,882,142,-1047,-400,-5,2251,907,-85,-1042,-408,-7,2225,936,-114,-1393,-37,16,2209,1047,-101,-975,-497,13,1981,988,-36,-812
"287","NORWOOD 205 ST",40.874811,-73.878855,-216,778,878,657,-423,-446,-281,470,554,427,-337,-440,43,3421,924,153,-1216,-626,-33,3596,1065,145,-1286,-759,-85,3835,906,277,-1179,-791,-47,3795,970,301,-1303,-812,-83,3506,991,207,17
"288","NORWOOD AV",40.68141,-73.880039,-71,366,251,-83,-389,-267,-80,162,217,53,-309,-239,42,1172,240,-256,-795,-332,5,1330,307,-256,-939,-340,8,1266,282,-291,-1027,-350,11,1314,292,-275,-942,-376,1,1230,201,-272,-778
"289","NOSTRAND AV",40.680438,-73.950426,-643,304,1698,1809,320,-847,-238,1211,1496,-160,-979,-336,2060,2938,3630,-1252,-1646,-369,2196,5806,1351,-893,-1757,-398,2310,5681,1427,-983,-1659,-426,2300,5687,1428,-363,-1678,-450,1941,5421,1231,-200,0
"290","OCEAN PKWY",40.576312,-73.968501,-26,119,225,211,123,22,65,210,226,104,21,-11,633,583,496,8,-86,-40,665,614,406,56,-96,-23,689,574,414,34,-62,-35,647,520,498,117,-93,-23,653,626,453,-104,0
"291","OZONE PK LEFFRT",40.685951,-73.825798,-209,590,368,192,-281,-288,168,269,213,-206,-156,-86,3772,1720,-123,-2617,-776,-157,4145,1848,-105,-2678,-910,-170,4172,1855,-109,-2688,-948,-188,4210,1780,-29,-2601,-878,-192,3702,1636,-200,-2239,0
"292","PARKCHESTER",40.833226,-73.860816,-413,1215,1200,330,-1032,-1191,-348,796,835,230,-858,-1080,40,6517,1384,-1790,-5041,-1584,1424,5714,1626,-1651,-5750,-1713,-35,7144,1661,-1720,-5731,-1767,-68,7200,1682,-1447,-5721,-1856,-94,6601,1506,-1670,-4619
"293","PARK PLACE",40.674772,-73.957624,-41,-71,-137,-15,13,-113,-52,-85,100,48,-180,-105,-311,-1071,497,1529,-118,-123,-439,-1316,505,1778,-89,-146,-418,-1152,513,1712,-137,-119,-433,-1167,602,1737,-23,-154,-395,-1073,481,1472,-284
"294","PARKSIDE AV",40.655292,-73.961495,-165,267,843,500,60,-207,-169,233,608,244,-127,-208,-24,1784,739,111,-625,-449,8,1916,869,105,-700,-509,-1,1950,851,157,-710,-561,-25,1886,891,96,-604,-576,-30,1715,809,130,-451
"295","PARSONS BLVD",40.707564,-73.803326,-297,325,538,486,-219,-324,-50,319,378,-138,-353,-173,1200,561,626,-1449,-930,-176,1051,697,701,-1693,-770,-232,1144,699,542,-1439,-880,-230,1133,733,679,-1034,-746,-271,1129,736,675,-682,2659.5
"296","PATH WTC",40.712582,-74.009781,-57,-909,198,2381,3291,1362,202,-373,697,1781,1403,427,-235,-9614,-291,14041,8130,765,-1515,-10389,1475,18110,5379,473,-5256,-7886,2116,11771,10410,1511,-516,-9376,-102,9692,11682,1751,-775,-9103,935,14689,4868
"297","PATH WTC 2",40.712582,-74.009781,-200,-844,-1447,-754,-339,-247,-192,-727,-739,-810,-452,-88,-1590,-3516,-1533,-7399.5,-2734,-231,-159,-5367,-1786,-1579,-1117,-106,-627,-5197,-1439,-3075,-765,-78,-2017,-4795,-1989,-2874,-400,-80,-3965,5032,-2865,-2644,-1950
"298","PELHAM BAY PARK",40.852462,-73.828121,-80,134,41,-52,205,258,47,5,-118,220,110,7,2103,1069,261,-758,-99,-41,2371,1037,252,-677,-204,-53,2285,1168,228,-512,-146,-58,2241,1084,346,-484,-246,-57,2071,961,103,-425,1123.5
"299","PELHAM PKWY",40.857192,-73.867615,-32,811,890,1023,596,178,10,462,744,595,445,28,137,3794,1249,1586,94,-21,495,3750,1471,1686,84,-83,142,4129,1522,1718,371,-88,123,4134,1560,1564,330,-67,96,3828,1594,1702,297
"300","PENNSYLVANIA AV",40.664635,-73.894895,12,510,914,964,621,290,367,578,696,524,225,9,1884,1660,1126,735,142,3,1924,1750,1152,682,164,4,1815,1767,1149,858,173,-36,1301,1356,1125,778,162,-8,1639,1606,1173,738,0
"301","PRESIDENT ST",40.667883,-73.950683,-132,95,205,137,-230,-316,-135,157,24,-302,-413,-84,343,665,151,-824,-398,-91,295,649,105,-1086,-435,-91,357,668,108,-927,-458,-139,314,672,160,-892,-506,-152,303,691,107,-801,0
"302","PRINCE ST",40.724329,-73.997702,247,-214,-1734,-1157,2684,1471,146,-1091,-869,1951,698,63,-631,-3183,-468,2932,1524,52,-742,-3496,-139,3005,1720,85,-682,-3341,-416,2731,1623,123,-680,-3371,-574,2571,1712,188,-675,-3488,-242,2813,0
"303","PROSPECT AV",40.665414,-73.992872,-135,673,1188,1164,346,-37,-46,636,914,546,14,84,483,3710,1442,1061,127,121,618,4007,1598,1226,825,21,-185,4076,1631,1202,160,29,528,4024,1705,1101,223,90,421,3794,1615,1379,765
"304","PROSPECT PARK",40.661614,-73.962246,-433,270,516,769,234,-1307,116,544,296,-136,-444,-198,1410,2655,229,-1919,-1311,-275,1449,2799,100,-1934,-1377,-272,1557,2754,151,-1781,-1392,-268,1460,2753,169,-1730,-1317,-301,1298,2726,202,-1382,0
"305","QUEENSBORO PLZ",40.750582,-73.940202,143,226,1239,1260,1104,125,313,1044,973,616,104,110,320,1286,2499,3346,570,146,270,1569,2334,3603,509,121,258,1660,2553,3695,764,146,277,1736,2271,3704,681,189,263,1694,2701,3425,0
"306","QUEENS PLAZA",40.748973,-73.937243,-195,-102,741,239,-340,-813,-101,54,535,47,-346,-553,-33,-2153,-498,2951,1757,-31,-53,-2219,-688,3106,2030,-113,-22,-2273,-165,2782,1842,-16,-29,-2156,-500,3101,1944,-124,-14,-2043,-348,2762,1548
"307","RALPH AV",40.678822,-73.920786,-36,461,797,653,202,-7,-31,247,574,500,180,-52,15,1860,946,476,-131,-106,-5,2029,961,473,-159,-97,24,1974,1045,457,-81,-121,20,1928,1020,516,-20,-111,9,1814,1051,552,129
"308","RECTOR ST",40.70722,-74.013342,3,13,1108,2501,2670,293,68,1105,1755,1441,6,-19,-240,-98,2204,5248,584,40,-322,-195,2510,6090,596,66,-259,-314,2644,6354,645,84,-256,-297,2298,5701,171,66,-485,-225,2847,5897,-164
"309","ROCKAWAY AV",40.67834,-73.911946,-114,440,812,459,113,-138,-111,245,533,390,5,-163,648,2178,663,-457,-833,-311,939,2404,802,-676,-927,-390,935,2543,771,-619,-973,-398,1046,2599,753,-652,-875,-397,916,2392,666,-400,-199
"310","ROCKAWAY BLVD",40.680429,-73.843853,27,661,731,638,436,211,58,348,507,530,321,173,132,3144,1076,917,106,109,135,3418,1197,925,103,80,129,3443,1200,937,70,52,134,3456,1197,955,121,56,135,3207,1140,937,252
"311","ROCKAWAY PARK B",40.580903,-73.835592,-31,15,-14,19,-15,-31,-40,-18,0,-45,-26,-35,-18,150,-5,-27,-204,-56,-16,163,-5,2,-229,-37,-18,180,-15,-1,-227,-48,-10,176,-24,-4,-249,-50,-21,125,27,-19,-159
"312","ROOSEVELT ISLND",40.759145,-73.95326,-5,26,798,872,791,75,-13,781,690,370,22,-5,192,1702,537,-955,-738,-67,176,1960,568,-833,-999,-52,207,1832,486,-693,-913,-93,164,1922,491,-731,-909,-132,142,1819,431,-430,0
"313","SARATOGA AV",40.661453,-73.916327,-86,646,1055,944,517,171,367,647,710,421,88,-15,2178,1447,561,-534,-171,-35,2279,1549,461,-390,-219,-32,2105,1655,530,-473,-118,-48,2179,1489,550,-417,-117,-52,2009,1524,544,-178,0
"314","SENECA AVE",40.702762,-73.90774,-48,154,211,-11,-143,-199,-59,129,181,-56,-219,-138,0,1116,381,-252,-910,-268,-12,1204,458,-225,-945,-368,-4,1214,477,-250,-1025,-388,-1058,1173,379,-247,-877,-370,-19,1121,404,-259,-745
"315","SHEEPSHEAD BAY",40.586896,-73.954155,-33,567,675,161,-658,-359,-185,278,573,50,-453,-297,30,5195,1102,-212,-3650,-779,21,5443,1305,-219,-3457,-783,-33,5446,1190,-329,-3360,-946,63,5338,1223,-130,-3392,-1004,-43,4994,1013,-514,-2855
"316","SHEPHERD AV",40.67413,-73.88075,-83,352,357,238,30,-44,-50,180,216,176,36,-61,19,1452,445,173,-88,-100,7,1519,482,190,-154,-127,11,1490,530,207,-94,-139,13,1694,540,211,-181,-104,-3,1449,525,239,-118
"317","SIMPSON ST",40.824073,-73.893064,37,979,1230,1413,1028,393,63,551,951,1081,715,296,118,2646,1709,1871,1217,319,109,2923,1781,2092,1319,354,133,2971,1848,2152,1384,234,123,2789,1974,2072,1447,368,149,2837,1798,2294,1646
"318","SMITH-9 ST",40.67358,-73.995959,-115,-240,-394,-224,-46,-252,-147,-193,-156,59,-237,-56,-248,-10,-79,-107,-224,-53,-284,9,-26,-87,-197,-34,-332,22,-111,-174,-203,-48,-275,-53,22,-81,-160,-47,-420,2,54,-199,-894.5
"319","SOUTH FERRY",40.702068,-74.013664,-202,-122,-3353,479,474,-554,-228,-211,-2109,144,243,-281,12,706,-1264,18,351,-347,2,317,-2783,898,814,-508,-33,809,-2915,818,400,-531,-19,711,-2741,1074,745,-479,-21,984,-1889,-37,-143
"320","SPRING ST",40.726227,-74.003739,482,-132,-1339,15,3474,1670,443,-597,13,2062,1111,108,-259,-1400,1745,6769,2107,202,-246,-1789,1987,7446,2449,237,-254,-1361,2048,7130,2794,310,-282,-1317,2116,6906,2680,407,-337,-1357,2128,5709,0
"321","STEINWAY ST",40.756879,-73.92074,168,336,730,1399,957,574,377,780,777,359,36,-31,988,2891,887,-767,-220,-19,1199,2953,898,-760,-255,10,1212,2985,1019,-656,-145,-86,1223,3013,936,-506,-373,-54,1075,2701,811,-424,0
"322","STERLING ST",40.662742,-73.95085,-114,234,630,668,117,-121,41,483,366,46,-172,-27,1174,930,1110,-618,-344,-55,1186,1856,348,-576,-411,-81,1199,1961,345,-547,-463,1112,99.5,1882,375,-396,-428,-102,1127,1737,472,-334,0
"323","ST LAWRENCE AV",40.831509,-73.867618,-285,281,444,170,-382,-437,-120,344,143,-253,-311,-147,1230,814,-219,-994,-434,-211,1390,920,75,-1085,-504,-207,1341,850,53,-1067,-660,-212,1422,897,57,-968,-614,-248,1267,760,64,-834,0
"324","SUTPHIN-ARCHER",40.700486,-73.807969,-265,623,1541,939,323,-82,32,779,894,637,837,-17,4459,3065,813,-1825,-892,-97,4758,3032,962,-2501,-511,-176,4733,2734,773,-2154,-620,-233,4532,2960,734,-2147,-708,-159,4276,2598,794,-2020,0
"325","SUTPHIN BLVD",40.70546,-73.810708,-54,425,381,196,-96,-163,-35,242,337,165,-48,-143,34,1514,778,409,-311,-172,49,1596,779,442,-334,-198,44,1622,766,374,-369,-239,26,1535,838,484,-453,-202,34,1525,672,392,-353
"326","SUTTER AV",40.669367,-73.901975,-99,307,288,218,19,-89,-102,194,244,268,-104,-252,2,1601,460,157,-235,-266,-11,1774,584,161,-266,-288,-18,1736,470,180,-181,-277,-13,1777,503,324,-274,-347,-28,1673,505,253,28
