"","STATION","lat","long","Saturday 00:00","Saturday 04:00","Saturday 08:00","Saturday 12:00","Saturday 16:00","Saturday 20:00","Sunday 00:00","Sunday 05:00","Sunday 09:00","Sunday 13:00","Sunday 17:00","Sunday 21:00","Monday 01:00","Monday 05:00","Monday 09:00","Monday 13:00","Monday 17:00","Monday 21:00","Tuesday 01:00","Tuesday 05:00","Tuesday 09:00","Tuesday 13:00","Tuesday 17:00","Tuesday 21:00","Wednesday 01:00","Wednesday 05:00","Wednesday 09:00","Wednesday 13:00","Wednesday 17:00","Wednesday 21:00","Thursday 01:00","Thursday 05:00","Thursday 09:00","Thursday 13:00","Thursday 17:00","Thursday 21:00","Friday 01:00","Friday 05:00","Friday 09:00","Friday 13:00","Friday 17:00"
"31","181 ST",40.851695,-73.937969,-783,1008,2213,870,-849,-1691,-491,864,1699,-62,-1468,-951,1504,4836,1640,-1236,-3254,-1341,1335,5466,2194,-1155,-3396,-1496,1162,5450,2014,-1306,-3142,-1743,1359,4822,2670,-1306,-3060,-1649,1212,4994,1918,-1242,-1889
"32","182-183 STS",40.856093,-73.900741,-97,474,773,681,352,154,240,547,602,216,55,-22,1291,1322,657,307,52,-43,1434,1338,697,361,-1,-55,1473,1320,683,292,119,-88,1410,1317,753,362,32,-14,1324,1315,727,411,0
"33","183 ST",40.858407,-73.903879,-117,585,859,701,182,-3,273,630,557,103,-108,-64,1679,1239,519,-101,-240,-65,1795,1418,506,-259,-233,-89,1778,1351,546,-270,-251,-97,1753,1351,669,-250,-208,-81,1685,1387,556,-21,0
"34","18 AV",40.607954,-74.001736,-259,909,1604,606,-532,-551,165,1217,947,-189,-709,-364,2732,3343,864,-738,-2118,-570,2959,3611,754,-1037,-2084,-550,3006,3436,1026,-807,-2096,-677,3006,3390,931,-645,-2233,-711,2768,2985,1125,-2080,0
"35","18 ST",40.74104,-73.997871,115,-40,-267,-103,718,308,144,-191,-48,354,116,18,-282,-1329,737,1819,684,43,-350,-833,550,2043,689,44,-347,-1596,664,1707,865,52,-365,-1675,700,1611,865,-234,-30,-1011,826,1650,0
"36","190 ST",40.859022,-73.93418,-58,125,435,567,521,-49,33,433,383,227,-45,-13,908,1628,398,89,-173,-39,1044,1618,447,176,-270,-35,1019,1753,456,94,-230,-59,1001,1741,469,255,-255,-72,873,1594,470,275,0
"37","191 ST",40.855225,-73.929412,-527,379,678,237,-610,-882,-245,567,164,-558,-778,-275,1128,1127,185,-1494,-858,-3,1096,1255,129,-1376,-983,-2,1140,1184,117,-1462,-930,-4,1143,1078,123,-1442,-968,-2,1020,1037,181,-1319,0
"38","1 AV",40.730953,-73.981628,669,-410,56,51,-1088,-261,311,-67,-121,-962,-597,94,-1312,-192,818,-10,-55,173,-1684,-84,646,358,-319,215,-1650,-524,951,437,-126,243,-1684,363,-128,335,528,364,-1807,-421,905,-491,0
"39","207 ST",40.864614,-73.918819,1,394,732,731,568,199,244,499,654,267,146,33,954,1214,671,575,93,73,1063,1305,777,567,185,72,1043,1354,721,655,149,70,1098,1320,684,591,173,34,1105,1323,735,544,0
"40","20 AV",40.604556,-73.998168,-24,628,1033,707,315,73,242,850,628,99,92,-18,1715,2108,776,-31,130,-5,1789,2235,738,-73,29,-28,1825,2185,718,74,129,-1,1814,2299,748,53,90,-13,1719,2105,684,168,86
"41","215 ST",40.869444,-73.915279,40,43,88,200,176,67,52,144,65,33,35,1,224,303,334,239,72,27,215,341,328,380,-48,-20,240,323,238,275,63,-8,216,333,263,321,5,-36,198,326,330,271,-74
"42","219 ST",40.883895,-73.862633,17,374,361,264,164,-27,0,206,251,223,99,-8,58,1301,510,277,-163,-52,47,1347,498,291,-157,-66,59,1402,510,266,-198,-48,56,1436,506,301,-143,-80,65,1350,537,180,-62
"43","21 ST",40.754203,-73.942836,-11,-73,12,-16,5,43,-28,-36,-38,5,20,6,-49,-427,-218,169,340,63,-19,-472,-184,92,315,5,-1,-491,-159,127,361,44,-3,-489,-182,109,394,36,-8,-435,-233,160,270
"44","21 ST-QNSBRIDGE",40.754203,-73.942836,-54,-35,978,751,448,-38,55,898,565,349,-103,-73,307,1543,752,622,-459,-127,510,1852,719,508,-658,-120,452,1731,739,700,-530,-196,449,1648,646,822,-659,-184,275,1749,857,800,-143.5
